regionsCode,regions,cx,cy,year,income
E12000006,East of England,573089.6687204316,264272.9085606098,2008,16318.11
E12000006,East of England,573089.6687204316,264272.9085606098,2009,16735.09
E12000006,East of England,573089.6687204316,264272.9085606098,2010,16836.71
E12000006,East of England,573089.6687204316,264272.9085606098,2011,16963.38
E12000006,East of England,573089.6687204316,264272.9085606098,2012,17567.84
E12000006,East of England,573089.6687204316,264272.9085606098,2013,18194.33
E12000006,East of England,573089.6687204316,264272.9085606098,2014,18757.8
E12000006,East of England,573089.6687204316,264272.9085606098,2015,19846.49
E12000006,East of England,573089.6687204316,264272.9085606098,2016,20145.18
E12000006,East of England,573089.6687204316,264272.9085606098,2017,20724.69
E12000006,East of England,573089.6687204316,264272.9085606098,2018,21489.71
E12000006,East of England,573089.6687204316,264272.9085606098,2019,22088.2
E12000006,East of England,573089.6687204316,264272.9085606098,2020,21887.78
E12000006,East of England,573089.6687204316,264272.9085606098,2021,22694.98
E12000007,London,530813.4104302553,180106.88251880676,1997,13383.38
E12000007,London,530813.4104302553,180106.88251880676,1998,13799.34
E12000007,London,530813.4104302553,180106.88251880676,1999,14633.94
E12000007,London,530813.4104302553,180106.88251880676,2000,15662.44
E12000007,London,530813.4104302553,180106.88251880676,2001,16160.69
E12000007,London,530813.4104302553,180106.88251880676,2002,16350.28
E12000007,London,530813.4104302553,180106.88251880676,2003,17019.81
E12000007,London,530813.4104302553,180106.88251880676,2004,17938.59
E12000007,London,530813.4104302553,180106.88251880676,2005,18948.38
E12000007,London,530813.4104302553,180106.88251880676,2006,19955.16
E12000007,London,530813.4104302553,180106.88251880676,2007,21466.81
E12000007,London,530813.4104302553,180106.88251880676,2008,22192.34
E12000007,London,530813.4104302553,180106.88251880676,2009,22113.5
E12000007,London,530813.4104302553,180106.88251880676,2010,22279.47
E12000007,London,530813.4104302553,180106.88251880676,2011,22107.25
E12000007,London,530813.4104302553,180106.88251880676,2012,23520.47
E12000007,London,530813.4104302553,180106.88251880676,2013,24884.19
E12000007,London,530813.4104302553,180106.88251880676,2014,25982.41
E12000007,London,530813.4104302553,180106.88251880676,2015,27816.84
E12000007,London,530813.4104302553,180106.88251880676,2016,28317.78
E12000007,London,530813.4104302553,180106.88251880676,2017,28909.94
E12000007,London,530813.4104302553,180106.88251880676,2018,30566.44
